sha256	bytes	logical_source
d98fe856330d5b2b2b67af728085a00ccfd7b4f8d00bb10b0cabd9a8eaec3a0f	13188	installed/.codex/hooks/fresh_state_cycle_evidence.py
f18182f755e34b79b30c31a0f6ddaf4d51759aa43fd91c944a2b352363be8380	9652	installed/.codex/hooks/fresh_state_receipt_validation.py
d4a7e6df26e8130199f1e7dee3b5128470e6fce2fbc9ededacb69b8d2148d938	5604	installed/.codex/hooks/fresh_state_receipt.py
1f457ea0a2fe7cddda33dffc6508be0594d103916cf37ebfe1b9b5765beac3c1	5897	installed/.codex/hooks/fresh_state_ownership.py
a8a62c067c96bc11122451d99252842f7c95a24cf3c311854d684ca4a97b6dcc	10877	installed/.codex/hooks/test_fresh_state_cycle_evidence.py
5315c0b1af090d8b04650eeb69395a3317e2e52900231fbed441edf5fd28daa6	3920	installed/.codex/hooks/test_fresh_state_ownership.py
268e460a83ad63d0730ca31a139c14a77646114adfe39a2e7b54746bf8ad5fda	16189	installed/.codex/hooks/test_fresh_state_guard.sh
94a0366f18ac0464713240b51c6c92f16a4b9da76ee21593896172a1be3f54ea	6741	installed/noin/tools/force_context_handoff_hook.py
8e82ec66e1383b7d3361dbd4c39bd21d1d7db4cb264f49dad7e986f8c22ede2c	11197	installed/noin/tools/test_force_context_handoff_hook.py
35a3e40269890dce2c2bb27546c23dc05068c61270fdbf3b21231ea7b7bee9c3	1391	installed/.codex/hooks.json
1042320480d68b5a99f1744a4d5e29bb8672d0470f2cf5e5e58d31413a0ce897	28426	installed/.codex/config.toml
152dbbd9b0452048cbc1fe777885d7761f2bfc9a9adbea1b607b4a1e394ba4f3	1761	installed/webtoon/bookto_multitab_targets.py
48ffd1d579a27a8efa6bceb1c7dc9946ced4f1442a282d4ab96d91346b1519e5	19301	installed/webtoon/test_bookto_multitab_cdp.py
6109eae2592905015991525235e9bbd447c35895f254718ef4c7db3c60ff6f2e	47859	packet/02_EXACT_PATCH.diff
